,lemma,Polarity
0,a_buena_fé,0.5
1,a_capella,-0.25
2,a_cara_descubierta,0.25
3,a_gusto,0.75
4,a_la_defensiva,-0.375
5,a_la_medida,0.25
6,a_pelo,-0.25
7,a_primera_vista,-0.375
8,a_priori,0.25
9,a_propósito,0.25
10,a_toda_prisa,-0.75
11,a_todo_correr,-0.75
12,a_un_lado,-0.25
13,abad,0.375
14,abadesa,0.375
15,abalanzar,-0.375
16,abanderar,0.375
17,abandonado,0.25
18,abandonarse_a_algo,0.375
19,abarrotado,0.25
20,abasia,-0.375
21,abastecedor,0.25
22,abatible,0.375
23,abatida,0.25
24,abatido,-0.312
25,abatimiento,-0.375
26,abatir,-0.554
27,abatis,0.25
28,abdicable,0.375
29,abducir,-0.25
30,abejarrón,0.25
31,abejón,0.25
32,abenuz,-0.375
33,aberrante,-0.25
34,abetalipoproteinemia,-0.625
35,abierta,-0.25
36,abilidad,0.313
37,ablandabrevas,-0.5
38,ablandado,0.375
39,ablandante,0.25
40,abochornado,-0.25
41,abochornar,-0.5
42,abogado_del_diablo,-0.25
43,abogaducho,-0.25
44,abombar,-0.5
45,abominable,-0.375
46,abominación,-0.425
47,abominador,-0.375
48,abominar,-0.375
49,abonado,0.375
50,abonamiento,0.375
51,abono_orgánico,-0.25
52,abordabilidad,-0.5
53,abordable,0.75
54,aborrecedor,-0.375
55,aborrecer,-0.625
56,aborrecible,-0.25
57,aborrecimiento,-0.425
58,abortivo,0.25
59,aborto_espontáneo,0.25
60,aborto_inminente,-0.375
61,abotonar,0.375
62,abracadabra,0.25
63,abrasador,-0.25
64,abrasividad,-0.25
65,abrazadera_real,0.25
66,abrevadero,0.25
67,abrigadero,-0.25
68,abroncar,-0.5
69,abrumar,-0.361
70,absentista,-0.312
71,absolutista,-0.25
72,absolvedor,0.25
73,absolver,-0.25
74,absorbible,0.375
75,absorto,0.5
76,abstemio,0.375
77,absuelto,0.375
78,abuchear,-0.458
79,abucheo,-0.417
80,abultar,-0.25
81,abundante,0.589
82,abundoso,0.5
83,aburrido,-0.25
84,aburrir,-0.5
85,aburrirse,0.25
86,abusado,-0.25
87,abusador,-0.375
88,abusar,-0.333
89,abusión,-0.5
90,abuso,-0.417
91,abusón,-0.375
92,abyección,-0.25
93,abásico,-0.25
94,abúlico,-0.75
95,academia_del_aire,-0.25
96,acallamiento,0.375
97,acalorado,0.25
98,acalorar,-0.5
99,acalorarse,-0.25
100,acantión,0.25
101,acantonar,0.25
102,acaparador,0.25
103,acatar,0.375
104,acatexia,-0.25
105,acaudalado,0.5
106,acaudalar,1.0
107,acaudillar,-0.375
108,acceleración,0.25
109,accesibilidad,0.417
110,accesible,0.607
111,accesional,0.25
112,accidente,-0.25
113,accidente_cerebrovascular,-0.375
114,accidente_fatal,-0.25
115,accionador,0.25
116,acción_refleja,-0.25
117,acecinado,0.25
118,aceite,-0.25
119,aceite_de_absenta,-0.375
120,aceite_de_bacalao,-0.375
121,aceitunado,0.375
122,acelerado,0.5
123,acento_circunflejo,0.25
124,aceptabilidad,0.688
125,aceptable,0.688
126,aceptador,0.5
127,acero_damasquino,-0.375
128,acero_de_tungsteno,-0.25
129,acero_de_wolframio,-0.25
130,acertado,0.708
131,acetaminofeno,-0.25
132,acetato_de_plomo,-0.25
133,acetificar,0.25
134,acetoso,-0.562
135,acherontia,-0.375
136,achicarse,-0.375
137,achicharrarse,-0.312
138,achispado,0.375
139,aciago,-0.5
140,acibarar,-0.375
141,acicalado,0.5
142,acicalar,0.25
143,acidez_de_estómago,-0.5
144,acidia,-0.375
145,acidular,0.25
146,acierto,0.375
147,acinesia,-0.375
148,acinesis,-0.375
149,aclamación,0.5
150,aclamador,0.25
151,aclorhidria,-0.25
152,aclorhídrico,-0.25
153,acobardado,-0.25
154,acogedor,0.775
155,acolchado,0.25
156,acolchamiento,0.25
157,acometer,-0.25
158,acomodación,0.292
159,acomodado,0.563
160,acomodar,0.469
161,acomodaticio,0.5
162,acompasado,0.625
163,acompañante,0.375
164,acondrita,-0.25
165,acondroplasia,-0.3125
166,acondroplástico,-0.25
167,acongojado,-0.75
168,acongojarse,-0.687
169,aconsejable,0.625
170,aconsejado,0.5
171,acoplado,0.375
172,acoquinado,-0.5
173,acorazado,0.313
174,acorazonado,0.375
175,acordado,0.375
176,acordarse,0.438
177,acorralado,-0.25
178,acortarse,-0.25
179,acosado,-0.25
180,acosar,-0.304
181,acosar_sexualmente,-0.375
182,acoso,-0.5
183,acostarse_con_cualquiera,0.25
184,acostumbrado,0.333
185,acracia,-0.5
186,acre,-0.3
187,acreditado,0.667
188,acrilamida,-0.25
189,acriminación,-0.625
190,acriminador,-0.25
191,acristalado,0.375
192,acroanestesia,-0.25
193,acrobático,0.25
194,acrofobia,-0.25
195,acrofóbico,-0.25
196,acromatínico,0.25
197,acromegalia,-0.375
198,acromático,-0.375
199,acrídidos,0.25
200,acta_notarial,0.25
201,actinomicótico,-0.25
202,activa,0.25
203,activado,0.292
204,activador,0.25
205,actividad,0.25
206,actividad_extracurricular,0.375
207,actividad_principal,0.25
208,actividad_social,0.25
209,activista,0.375
210,activo,0.3175
211,activo_de_garantía,0.375
212,acto_de_terrorismo,-0.25
213,acto_reflejo,-0.25
214,actuado,0.375
215,actualizado,0.5
216,actuar_violentamente,-0.25
217,acuafobia,-0.375
218,acuartelar,0.25
219,acuerdo_escrito,0.375
220,acuerdo_viático,-0.25
221,acufeno,-0.25
222,acullá,0.375
223,acuminado,0.25
224,acumulativo,0.375
225,acusación,-0.25
226,acusación_falsa,-0.5
227,acusador,-0.25
228,acuñador_ilegal,-0.25
229,acústicamente,0.375
230,adamantino,-0.375
231,adaptabilidad,0.313
232,adaptable,0.313
233,adaptado,0.5
234,adaptador,0.25
235,adaptar,0.3
236,adecuación,0.5
237,adecuada,0.75
238,adecuadamente,0.25
239,adecuado,0.656
240,adecuar,0.281
241,adefesio,-0.312
242,adelanto,0.25
243,adenomiosis,-0.375
244,adenopatía,-0.375
245,aderezar,0.313
246,adherente,0.375
247,adhesivo,0.25
248,adicción_a_la_cafeína,-0.25
249,adiestrado,0.375
250,adiestrador,0.25
251,adiestrar,0.375
252,adinamia,-0.875
253,adinerado,0.4375
254,adiposo,-0.5
255,aditivo,0.25
256,adivinanza,-0.375
257,administrable,0.625
258,admirabilidad,0.625
259,admirable,0.906
260,admirablemente,0.625
261,admiración,0.45
262,admirar,0.75
263,admisibilidad,0.5
264,admisible,0.625
265,admisivo,0.5
266,admitido,0.25
267,adopción,0.25
268,adoptable,0.75
269,adorable,0.5
270,adorado,0.5
271,adorador,0.5
272,adormecimiento,0.25
273,adormilarse,-0.25
274,adormitarse,-0.25
275,adornado,0.625
276,adoxografía,0.375
277,adquirible,0.375
278,adquirido,-0.25
279,adrenalina,0.25
280,adrenocorticotrópico,0.5
281,adsorbato,0.25
282,adsorbible,0.25
283,adulterar,-0.562
284,adulterino,-0.6875
285,adulto,0.375
286,adustez,-0.5
287,adusto,-0.312
288,adversidad,-0.475
289,adverso,-0.375
290,advertencia,-0.344
291,advice,0.25
292,adyacente,0.25
293,aerobio,0.2815
294,aeroembolismo,-0.25
295,aerotransportado,0.375
296,aerófilo,0.25
297,aestesis,-0.25
298,aethusa,-0.25
299,afabilidad,0.583
300,afable,1.0
301,afanar,-0.687
302,afasia_visual,-0.375
303,afear,-0.333
304,afectividad,0.625
305,afectivo,0.375
306,afecto,0.321
307,afectuosamente,0.625
308,afectuosidad,0.375
309,afectuoso,0.563
310,afeminado,0.313
311,aferente,-0.25
312,affenpinscher,-0.25
313,afianzarse,0.25
314,aficionado,-0.25
315,aficionarse,0.375
316,afición,0.5
317,afilado,0.375
318,afiladora,0.25
319,afiliado,0.25
320,afinación,0.25
321,afinamiento,0.25
322,afinar,0.304
323,afirmativo,0.625
324,aflautado,0.25
325,aflicción,-0.606
326,afligido,-0.396
327,afligir,-0.675
328,afligirse,-0.687
329,afluencia,0.375
330,afonía,-0.292
331,afortunadamente,0.875
332,afortunado,0.813
333,aforístico,0.25
334,afrenta,-0.25
335,afrentar,-0.437
336,africada,0.25
337,afrontar,-0.406
338,afrutado,0.25
339,afta,-0.25
340,afótico,-0.375
341,agarico,-0.25
342,agarrado,-0.875
343,agasajar,0.333
344,agencia_publicitaria,0.25
345,agente_de_policía,-0.25
346,agente_del_FBI,0.25
347,agentes,-0.5
348,agil,0.375
349,agilidad,0.25
350,agitprop,-0.25
351,agobiante,-0.312
352,agobiar,-0.594
353,agobio,-0.625
354,agonizar,-0.75
355,agonía,-0.625
356,agorafobia,-0.25
357,agorafóbico,-0.25
358,agorero,-0.687
359,agotable,0.375
360,agradable,0.75
361,agradado,0.75
362,agradar,0.708
363,agradecido,0.5
364,agrado,0.625
365,agrandado,-0.312
366,agrandar,0.25
367,agranulocítico,-0.5
368,agravado,-0.375
369,agravamiento,-0.417
370,agravar,-0.281
371,agravarse,-0.375
372,agrazón,-0.292
373,agreder,-0.375
374,agregado,0.458
375,agresividad,-0.35
376,agresivo,-0.375
377,agresión,-0.312
378,agreste,-0.25
379,agridulce,-0.562
380,agrio,-0.425
381,agrisado,-0.25
382,agrisar,-0.25
383,agua_de_fuego,0.25
384,agua_potable,0.375
385,aguafiestas,0.375
386,aguardiente_de_manzana,-0.25
387,aguas_movedizas,-0.875
388,aguas_residuales,-0.25
389,agudeza_visual,0.25
390,agudizar,0.3
391,aguijoneo,-0.25
392,agujereado,0.25
393,agujero_negro,0.25
394,agárico,-0.25
395,agónico,-0.75
396,aherrumbrar,-0.25
397,ahogadero,-0.25
398,ahogado,-0.375
399,ahorquillado,0.25
400,ahorrador,0.5
401,ahorrativo,0.5
402,ahuecamiento,-0.75
403,ahumado,0.25
404,ahusado,0.25
405,ahusar,0.375
406,ailurofobia,-0.25
407,airado,-0.5
408,aire_cargado,-0.25
409,aire_viciado,-0.25
410,aireado,0.25
411,airosidad,0.5
412,ajustable,0.5
413,ajustado,0.375
414,ajustar,0.292
415,ajusticiar,-0.25
416,al-hakim,0.25
417,al_contado,-0.25
418,al_corriente,0.25
419,al_día,0.5
420,alabanza,0.5
421,alabar,1.0
422,alabar_con_exceso,0.5
423,alacridad,0.25
424,alado,0.313
425,alambre,0.25
426,alar,-0.375
427,alarmado,-0.25
428,alarmante,-0.333
429,alarmar,-0.25
430,alarmismo,-0.5
431,alazán,0.25
432,albayalde,-0.25
433,albinismo,-0.25
434,alborada,0.25
435,alborotado,-0.375
436,alborotador,-0.417
437,alboroto,-0.25
438,alborotoso,-0.25
439,alborozar,1.0
440,alborozo,0.25
441,albuminuria,-0.5
442,alcalescente,0.25
443,alcalótico,0.25
444,alcanforado,0.25
445,alcanforar,0.25
446,alcanzado,0.375
447,alcista,0.625
448,alcoholismo,-0.25
449,alcoholizado,0.25
450,alcohólico,0.0
451,alcotana,0.25
452,aleatoriedad,-0.25
453,aleatorizar,-0.25
454,alegrar,0.458
455,alegrarse,1.0
456,alegre,0.661
457,alentador,0.422
458,alentar,0.275
459,alero,-0.375
460,alerta,0.375
461,alexia,-0.375
462,alfabetismo,0.375
463,alfil,-0.375
464,alfiler,0.25
465,alfilerazo,-0.437
466,algarabía,-0.437
